"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 15","2,613.80","2,643.81","2,643.86","2,613.80","607.83K","-0.25%"
"2024- 02- 14","2,620.42","2,609.60","2,627.31","2,601.99","543.52M","-1.10%"
"2024- 02- 13","2,649.64","2,644.17","2,656.87","2,640.96","559.39M","1.12%"
"2024- 02- 08","2,620.32","2,620.26","2,629.51","2,610.21","430.01M","0.41%"
"2024- 02- 07","2,609.58","2,592.59","2,625.24","2,588.09","518.18M","1.30%"
"2024- 02- 06","2,576.20","2,584.20","2,599.18","2,563.87","411.62M","-0.58%"
"2024- 02- 05","2,591.31","2,612.77","2,612.77","2,562.50","511.68M","-0.92%"
"2024- 02- 02","2,615.31","2,559.40","2,615.34","2,559.39","596.12M","2.87%"
"2024- 02- 01","2,542.46","2,491.93","2,542.46","2,491.93","751.08M","1.82%"
"2024- 01- 31","2,497.09","2,487.90","2,502.45","2,486.97","454.57M","-0.07%"
"2024- 01- 30","2,498.81","2,523.68","2,528.54","2,498.81","481.81M","-0.07%"
"2024- 01- 29","2,500.65","2,490.93","2,516.92","2,483.81","427.44M","0.89%"
"2024- 01- 26","2,478.56","2,458.05","2,502.61","2,453.45","292.66M","0.33%"
"2024- 01- 25","2,470.34","2,467.73","2,474.01","2,452.36","357.23M","0.03%"
"2024- 01- 24","2,469.69","2,476.22","2,476.22","2,454.34","395.46M","-0.36%"
"2024- 01- 23","2,478.61","2,478.32","2,482.84","2,464.24","472.28M","0.58%"
"2024- 01- 22","2,464.35","2,489.57","2,490.69","2,464.35","388.05M","-0.34%"
"2024- 01- 19","2,472.74","2,468.43","2,479.00","2,455.50","518.81M","1.34%"
"2024- 01- 18","2,440.04","2,439.96","2,453.97","2,429.12","571.51M","0.17%"
"2024- 01- 17","2,435.90","2,501.23","2,503.91","2,435.34","965.60M","-2.47%"
"2024- 01- 16","2,497.59","2,516.27","2,524.35","2,491.13","659.58M","-1.12%"
