날짜,시간,시가,고가,저가,종가,거래량,거래대금
2023-07-03,0901,391500,392500,391000,391500,16109,6308480000
2023-07-03,0902,391500,393500,391000,392500,10298,4041890000
2023-07-03,0903,392500,393500,391500,393500,10840,4254560000
2023-07-03,0904,393500,395000,393000,394000,13786,5434010000
2023-07-03,0905,394500,395500,394000,395000,17045,6732740000
2023-07-03,0906,395000,395500,394000,394000,6397,2526500000
2023-07-03,0907,394000,395000,393500,394500,6803,2681700000
2023-07-03,0908,395000,395500,394500,395000,5047,1994790000
2023-07-03,0909,395000,396000,395000,395500,6099,2411000000
2023-07-03,0910,395500,396500,395000,396500,6879,2722960000
2023-07-03,0911,396500,396500,395000,395500,6265,2481300000
2023-07-03,0912,395000,396000,395000,395500,3403,1345810000
2023-07-03,0913,395000,395500,394500,395000,3391,1339570000
2023-07-03,0914,395000,395000,394500,394500,1384,546350000
2023-07-03,0915,395000,396000,394500,396000,7518,2969270000
2023-07-03,0916,396000,396500,395500,396500,4274,1693000000
2023-07-03,0917,396500,397500,396000,397500,7332,2909720000
2023-07-03,0918,397500,398000,397000,397500,10496,4171980000
2023-07-03,0919,397500,397500,396000,396000,5060,2007290000
2023-07-03,0920,396000,396500,396000,396500,1529,606120000
2023-07-03,0921,396500,397000,396000,397000,3140,1245320000
2023-07-03,0922,396500,397000,396500,397000,1445,573310000
2023-07-03,0923,396500,397000,396000,396500,2490,987030000
2023-07-03,0924,396000,396500,396000,396500,1330,526820000
2023-07-03,0925,396000,396500,396000,396000,2170,859380000
2023-07-03,0926,396500,397000,396000,396500,3656,1449920000
2023-07-03,0927,396500,397000,396000,396000,1767,700620000
2023-07-03,0928,396500,396500,396000,396000,604,239440000
2023-07-03,0929,396500,397000,396000,396500,2824,1119650000
2023-07-03,0930,397000,397500,396500,397000,2814,1117250000
2023-07-03,0931,397500,397500,397000,397000,797,316700000
2023-07-03,0932,397500,397500,397000,397500,1058,420370000
2023-07-03,0933,397000,397500,397000,397500,782,310570000
2023-07-03,0934,397500,397500,397000,397500,953,378680000
2023-07-03,0935,397500,397500,397000,397500,2343,931230000
2023-07-03,0936,397500,397500,397000,397500,1341,532880000
2023-07-03,0937,397500,397500,397000,397500,979,388830000
2023-07-03,0938,397500,397500,396000,396000,5351,2123580000
2023-07-03,0939,396500,396500,395500,396000,3326,1317150000
2023-07-03,0940,395500,396000,395500,395500,485,191940000
2023-07-03,0941,395500,396500,395500,396000,1742,689640000
2023-07-03,0942,396500,396500,395500,396000,2029,803530000
2023-07-03,0943,396500,396500,395500,396000,668,264380000
2023-07-03,0944,395500,396000,395000,395000,4110,1624830000
2023-07-03,0945,395000,395500,395000,395500,1086,429020000
2023-07-03,0946,395000,395500,395000,395500,1463,578040000
2023-07-03,0947,395000,395500,395000,395000,734,290130000
2023-07-03,0948,395000,395500,395000,395500,1146,453150000
2023-07-03,0949,395500,396000,395000,395500,721,285060000
2023-07-03,0950,395500,396000,395000,395500,927,366640000
2023-07-03,0951,395500,396000,395500,396000,310,122690000
2023-07-03,0952,396000,396000,395500,395500,496,196220000
2023-07-03,0953,396000,396000,395500,395500,378,149530000
2023-07-03,0954,395500,396000,395500,395500,349,138060000
2023-07-03,0955,395500,396000,395500,395500,733,289980000
2023-07-03,0956,395500,396000,395500,395500,1007,398350000
2023-07-03,0957,396000,396000,395500,395500,6695,2650990000
2023-07-03,0958,395500,396000,395500,396000,1113,440650000
2023-07-03,0959,396000,396500,395500,396500,1948,771520000
2023-07-03,1000,396500,396500,396000,396500,1374,544550000
2023-07-03,1001,396500,396500,396000,396500,700,277380000
2023-07-03,1002,396500,396500,396000,396500,1164,461070000
2023-07-03,1003,396500,396500,396000,396000,957,379120000
2023-07-03,1004,396000,396500,396000,396500,778,308240000
2023-07-03,1005,396000,397000,396000,397000,5305,2103480000
2023-07-03,1006,397000,397000,396500,396500,1847,733150000
2023-07-03,1007,397000,397000,396500,397000,1408,558900000
2023-07-03,1008,397000,397500,396500,397500,697,276850000
2023-07-03,1009,397000,397500,397000,397500,854,339230000
2023-07-03,1010,397500,397500,397000,397000,871,346010000
2023-07-03,1011,397500,397500,397000,397000,397,157700000
2023-07-03,1012,397500,397500,397000,397500,2693,1069300000
2023-07-03,1013,397500,397500,396500,397000,2303,914300000
2023-07-03,1014,397500,397500,397000,397000,1833,727760000
2023-07-03,1015,397000,397500,397000,397500,3345,1328070000
2023-07-03,1016,397500,399500,397500,399500,26848,10693500000
2023-07-03,1017,399500,399500,399000,399500,2506,1000850000
2023-07-03,1018,399000,399500,398500,399000,8389,3348420000
2023-07-03,1019,399000,400000,399000,399500,6919,2764510000
2023-07-03,1020,399500,400000,399500,399500,3028,1210420000
2023-07-03,1021,399500,400000,399500,400000,1574,629330000
2023-07-03,1022,399500,400000,399500,400000,1061,424100000
2023-07-03,1023,400000,400000,399500,399500,1401,560250000
