,매매구분,종목코드,수량,단가,약정금액,수수료,거래세,농특세,정산금액,매체
0,매도,180640,30,72500,2175000,0,0,0,2175000,eBEST Pro Master
1,종목소계,,30,72500,2175000,326,651,3261,2170762,
2,매수,000540,570,5900,3363000,0,0,0,3363000,eBEST Pro Master
3,매수,000540,430,5910,2541300,0,0,0,2541300,eBEST Pro Master
4,종목소계,,1000,5904,5904300,885,0,0,5905185,
5,매수,000720,500,33300,16650000,0,0,0,16650000,eBEST Pro Master
6,종목소계,,500,33300,16650000,2497,0,0,16652497,
7,매수,000810,10,303500,3035000,0,0,0,3035000,eBEST Pro Master
8,종목소계,,10,303500,3035000,455,0,0,3035455,
9,매수,001200,1000,3550,3550000,0,0,0,3550000,eBEST Pro Master
10,종목소계,,1000,3550,3550000,532,0,0,3550532,
11,매수,001450,100,35200,3520000,0,0,0,3520000,eBEST Pro Master
12,종목소계,,100,35200,3520000,528,0,0,3520528,
13,매수,001500,411,9370,3851070,0,0,0,3851070,eBEST Pro Master
14,종목소계,,411,9370,3851070,577,0,0,3851647,
15,매수,004000,33,48950,1615350,0,0,0,1615350,eBEST Pro Master
16,종목소계,,33,48950,1615350,242,0,0,1615592,
17,매수,005490,50,435000,21750000,0,0,0,21750000,eBEST Pro Master
18,종목소계,,50,435000,21750000,3262,0,0,21753262,
19,매수,006800,200,8460,1692000,0,0,0,1692000,eBEST Pro Master
20,종목소계,,200,8460,1692000,253,0,0,1692253,
21,매수,010130,12,460000,5520000,0,0,0,5520000,eBEST Pro Master
22,매수,010130,8,460500,3684000,0,0,0,3684000,eBEST Pro Master
23,종목소계,,20,460200,9204000,1380,0,0,9205380,
24,매수,012330,100,228000,22800000,0,0,0,22800000,eBEST Pro Master
25,종목소계,,100,228000,22800000,3420,0,0,22803420,
26,매수,020150,100,34600,3460000,0,0,0,3460000,eBEST Pro Master
27,종목소계,,100,34600,3460000,519,0,0,3460519,
28,매수,055550,100,43600,4360000,0,0,0,4360000,eBEST Pro Master
29,매수,055550,100,43800,4380000,0,0,0,4380000,eBEST Pro Master
30,종목소계,,200,43700,8740000,1311,0,0,8741311,
31,매수,064350,100,28550,2855000,0,0,0,2855000,eBEST Pro Master
32,종목소계,,100,28550,2855000,428,0,0,2855428,
33,매수,085620,1000,6000,6000000,0,0,0,6000000,eBEST Pro Master
34,종목소계,,1000,6000,6000000,900,0,0,6000900,
35,매수,086790,100,53500,5350000,0,0,0,5350000,eBEST Pro Master
36,종목소계,,100,53500,5350000,802,0,0,5350802,
37,매수,096770,100,122700,12270000,0,0,0,12270000,eBEST Pro Master
38,종목소계,,100,122700,12270000,1840,0,0,12271840,
39,매수,101280,95,19785,1879575,0,0,0,1879575,eBEST Pro Master
40,매수,101280,5,19790,98950,0,0,0,98950,eBEST Pro Master
41,종목소계,,100,19785,1978525,296,0,0,1978821,
42,매수,138930,100,7770,777000,0,0,0,777000,eBEST Pro Master
43,종목소계,,100,7770,777000,116,0,0,777116,
44,매수,181480,14,75745,1060430,0,0,0,1060430,eBEST Pro Master
45,종목소계,,14,75745,1060430,159,0,0,1060589,
46,매수,229640,300,20950,6285000,0,0,0,6285000,eBEST Pro Master
47,종목소계,,300,20950,6285000,942,0,0,6285942,
48,매수,316140,500,14180,7090000,0,0,0,7090000,eBEST Pro Master
49,종목소계,,500,14180,7090000,1063,0,0,7091063,
50,매수,466940,50,11830,591500,0,0,0,591500,eBEST Pro Master
51,종목소계,,50,11830,591500,88,0,0,591588,
